id,date,content,reply_count,retweet_count,like_count,language,clean_tweet,sentiment_results,polarity,subjectivity,sentiment
1631081185978859521,2023-03-01 23:57:13+00:00,@Skipskipt Loser because he was born into the Biden family. Remember hunters banging his wife.,0,0,0,en,skipskipt loser bear biden family remember hunters bang wife,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,neutral
1631080862803701760,2023-03-01 23:55:56+00:00,"@HogWildNTN @krassenstein Trump and Biden. Trump tied Biden hands with his agreement with the Taliban. Biden made mistakes that’s true, but the timeline Trump agreed to and we could not extend exacerbated the problems.",0,0,2,en,hogwildntn krassenstein trump biden trump tie biden hand agreement taliban biden make mistake that’s true timeline trump agree could extend exacerbate problems,"Sentiment(polarity=0.35, subjectivity=0.65)",0.35,0.35,positive
1631080740543774728,2023-03-01 23:55:27+00:00,"@RonFilipkowski Same woman who called President Biden a “piece of sh*t”
She is disgraceful and has no shame.  So tired of her.",0,0,0,en,ronfilipkowski woman call president biden “piece sht” disgraceful shame tire,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,neutral
1631080620628537346,2023-03-01 23:54:58+00:00,"President Biden Delivers Remarks at the House Democratic Caucus Issues C... https://t.co/tGlwW4Mkki via @YouTube how about some #thirdreconstruction #plantbased welfare cheese, please @POTUS #famine",0,0,0,en,president biden deliver remark house democratic caucus issue c via youtube thirdreconstruction plantbased welfare cheese please potus famine,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,neutral
1631079594211016706,2023-03-01 23:50:53+00:00,"@TheBeatWithAri @PressSec @K_JeanPierre Biden undid what Trump already did then the Biden did it again. So, nope.",0,0,2,en,thebeatwithari presssec kjeanpierre biden undo trump already biden nope,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,neutral
1631079513252831232,2023-03-01 23:50:34+00:00,The #Biden administration doesn’t want to hear/see confirmation about #Wuhanlableak as that would force them to make some tough decisions. They’d rather keep their heads in the sand and hope Americans do the same.,0,0,0,en,biden administration doesn’t want hearsee confirmation wuhanlableak would force make tough decisions they’d rather keep head sand hope americans,"Sentiment(polarity=-0.3888888888888889, subjectivity=0.8333333333333334)",-0.3888888888888889,-0.3888888888888889,negative
1631076951359365126,2023-03-01 23:40:23+00:00,"But not the money you got for your district thanks to Biden’s spending, right? Good talk garden gnome.",1,1,6,en,money get district thank biden’s spend right good talk garden gnome,"Sentiment(polarity=0.4928571428571428, subjectivity=0.5678571428571428)",0.4928571428571428,0.4928571428571428,positive
1631076293142773764,2023-03-01 23:37:46+00:00,"@TheBabylonBee I don't think that's possible  🤔 

Remember how many voted for BIDEN, for those that are DECEASED prior to voting to BIDEN I apologize, continue burning in hell as you were prior.",0,0,0,en,thebabylonbee dont think thats possible remember many vote biden decease prior vote biden apologize continue burn hell prior,"Sentiment(polarity=0.125, subjectivity=0.375)",0.125,0.125,positive
1631075602265505798,2023-03-01 23:35:02+00:00,"Members in letter say Biden admin failing to enforce #USMCA over Mexico's GMO corn ban would ""severely impact our local farmers,"" ""set a harmful precedent"" &amp; ""negatively impact the Illinois Corn industry."" They call for ""all enforcement mechanisms (to) remain on the table.""",0,3,4,en,members letter say biden admin fail enforce usmca mexicos gmo corn ban would severely impact local farmers set harmful precedent negatively impact illinois corn industry call enforcement mechanisms remain table,"Sentiment(polarity=-0.26666666666666666, subjectivity=0.2333333333333333)",-0.26666666666666666,-0.26666666666666666,negative
1631075474599460865,2023-03-01 23:34:31+00:00,@__TEAM_USA He is part of Joe Biden's poor appointment program and is totally unfit to run this department like all the others😘🇺🇲😘,0,0,1,en,teamusa part joe bidens poor appointment program totally unfit run department like others,"Sentiment(polarity=-0.2, subjectivity=0.675)",-0.2,-0.2,negative
